agent,training_fraction,training_samples,threshold,utility_success_rate,utility_tn,utility_fp,attack_blocking_rate,attack_tp,attack_fn,utility_ambiguous_pct,utility_ambiguous_pct_std,utility_wrong_pct,utility_wrong_pct_std,attack_ambiguous_pct,attack_ambiguous_pct_std,attack_wrong_pct,attack_wrong_pct_std
banking,0.5,103,1.0,81.54388821055488,10018,2267,66.76434676434677,911,454,56.87995647387303,2.2224974083923885,8.563544735417652,2.3753266452411834,47.00854700854702,1.0919992373324001,0.0,0.0
banking,0.6,123,1.0,87.65432098765433,10768,1517,63.46764346764346,866,499,60.825036829213616,1.0923028559390657,4.638981181089313,0.9776824113876244,49.73942047112778,1.87640421983166,0.0,0.0
banking,0.7,144,1.0,91.94410527743861,11295,990,58.33943833943834,796,569,62.05902426688309,0.9059860714827886,2.9814487643546586,1.1187536538038678,54.42985199082759,1.8199721981002392,0.0,0.0
banking,0.8,164,1.0,94.3019943019943,11585,700,56.971916971916976,778,587,63.47179866954824,0.29743817604852435,1.907926849283984,0.22324631113222151,55.76401917865332,1.6674483848923252,0.0,0.0
banking,0.9,185,1.0,97.3951973951974,11965,320,54.57875457875458,745,620,64.03829816077861,0.20504754564765448,0.9799326306079733,0.04527723296301056,57.8695017719408,2.4511989268023653,0.0,0.0
banking,1.0,206,1.0,100.0,12285,0,51.7948717948718,707,658,65.39354777403453,0.07997814571306197,0.0,0.0,60.913070669168235,0.0,0.0,0.0
slack,0.5,146,1.0,91.08462981352754,8255,808,45.812644819596166,461,546,66.9764741010731,0.1290274374796093,3.4769561551868033,0.649864297928131,61.10615521855487,3.4155557036711204,0.0,0.0
slack,0.6,175,1.0,93.83574239582184,8504,559,44.81959616021186,451,556,68.56867121917843,0.08302929986869864,2.2186905318605237,0.03232081154503263,63.484983645554564,1.9137190496228544,0.0,0.0
slack,0.7,205,1.0,95.89907683254256,8691,372,42.10526315789473,424,583,68.97856919049887,0.49820443740947323,1.244574759212686,0.5440988893955292,65.41778174249181,0.6108426578701815,0.0,0.0
slack,0.8,234,1.0,97.72334399941151,8857,206,38.43098311817279,387,620,69.22546663313078,0.2716272643808169,0.8690679549550921,0.6957078815217989,67.20190306274161,0.7439783528514298,0.0,0.0
slack,0.9,263,1.0,99.1577476185222,8987,76,37.007613373055285,373,634,69.39731963295247,0.3128554945676432,0.3628455990765726,0.38851982227683873,68.95628902765388,0.9853132040309768,0.0,0.0
slack,1.0,293,1.0,100.0,9063,0,36.34558093346574,366,641,69.62322271658648,0.255714381419939,0.0,0.0,70.11596788581623,0.0,0.0,0.0
travel,0.5,258,1.0,83.97219666768883,8215,1568,82.06071757129715,892,195,20.831865494433647,0.3289206869707092,2.5760402815872205,0.6711844536625169,20.729837473167738,0.980335318193547,0.0,0.0
travel,0.6,310,1.0,88.6946744352448,8677,1106,80.34345292854952,873,214,21.662413129548174,0.45496294858045605,2.0683925786078916,0.5444766614263655,22.539098436062556,1.2410982118888734,0.0,0.0
travel,0.7,361,1.0,91.83277113359911,8984,799,78.8101809260963,857,230,22.44199464080977,0.23965767069415556,1.1942495094620649,0.28604685610148367,24.471021159153633,0.739793810598885,0.0,0.0
travel,0.8,413,1.0,94.46659170670209,9242,541,76.35694572217112,830,257,23.168185518074353,0.5183655998420532,0.48209869386563486,0.25914994539105213,27.6295614842073,1.3485822402512122,0.0,0.0
travel,0.9,465,1.0,97.07315411087261,9497,286,75.92762956148421,825,262,22.648036463328918,0.3073336437180213,0.2849401609728616,0.07032149865705814,28.212204845139524,0.889826318831457,0.0,0.0
travel,1.0,517,1.0,100.0,9783,0,75.06899724011039,816,271,23.428544614120995,0.269868041533963,0.0,0.0,29.070837166513343,0.0,0.0,0.0
workspace,0.5,219,1.0,80.6172160052182,13183,3170,78.35259585397175,1424,393,46.414935560756795,1.3619936577798444,5.534932715193851,1.7104616831896011,14.270122783083218,1.4956300092724186,0.0,0.0
workspace,0.6,263,1.0,84.8549705456695,13876,2477,77.01339203815813,1399,418,47.68625258319013,1.0614828841385158,3.8396264423982416,1.4277377728004577,15.698044565711688,1.1645207507171795,0.0,0.0
workspace,0.7,307,1.0,89.63900609470231,14659,1694,75.69253348009539,1375,442,49.41537021326792,0.655507415727939,2.3912561289306526,0.8445987379339543,16.507503410641203,0.6753643734692845,0.0,0.0
workspace,0.8,351,1.0,94.2212438084755,15408,945,74.2799486332783,1350,467,50.48267010856622,1.1991404151251506,1.4046658220369945,0.5940492452929858,17.21691678035471,0.39034586146202627,0.0,0.0
workspace,0.9,395,1.0,96.89353635418577,15845,508,73.52779306549257,1336,481,50.958415587868636,0.6329717863389042,0.564659490061605,0.4255041147784728,17.69895407003183,0.23612105476575135,0.0,0.0
workspace,1.0,439,1.0,100.0,16353,0,72.97743533296642,1326,491,51.19403492605907,0.25345284944608604,0.0,0.0,18.00818553888131,0.0,0.0,0.0
