agent,training_fraction,training_samples,threshold,utility_success_rate,utility_tn,utility_fp,attack_blocking_rate,attack_tp,attack_fn,utility_classified_as_utility,utility_classified_as_ambiguous,utility_classified_as_attack,utility_classified_as_novel,attack_classified_as_utility,attack_classified_as_ambiguous,attack_classified_as_attack,attack_classified_as_novel
banking,0.5,103,1.0,81.54388821055488,10018,2267,66.76434676434677,911,454,4712,9291,1400,933,0,752,847,0
banking,0.6,123,1.0,87.65432098765433,10768,1517,63.46764346764346,866,499,4915,9963,759,741,0,795,804,0
banking,0.7,144,1.0,91.94410527743861,11295,990,58.33943833943834,796,569,5191,10109,486,504,0,870,729,0
banking,0.8,164,1.0,94.3019943019943,11585,700,56.971916971916976,778,587,5236,10350,311,409,0,892,707,0
banking,0.9,185,1.0,97.3951973951974,11965,320,54.57875457875458,745,620,5527,10411,159,161,0,925,674,0
banking,1.0,206,1.0,100.0,12285,0,51.7948717948718,707,658,5653,10683,0,0,0,974,625,0
slack,0.5,146,1.0,91.08462981352754,8255,808,45.812644819596166,461,546,5029,12265,636,383,0,685,436,0
slack,0.6,175,1.0,93.83574239582184,8504,559,44.81959616021186,451,556,5133,12610,408,239,0,712,409,0
slack,0.7,205,1.0,95.89907683254256,8691,372,42.10526315789473,424,583,5279,12670,228,190,0,733,388,0
slack,0.8,234,1.0,97.72334399941151,8857,206,38.43098311817279,387,620,5374,12673,159,101,0,753,368,0
slack,0.9,263,1.0,99.1577476185222,8987,76,37.007613373055285,373,634,5490,12667,66,30,0,773,348,0
slack,1.0,293,1.0,100.0,9063,0,36.34558093346574,366,641,5545,12708,0,0,0,786,335,0
travel,0.5,258,1.0,83.97219666768883,8215,1568,82.06071757129715,892,195,8171,2772,342,2018,0,225,862,0
travel,0.6,310,1.0,88.6946744352448,8677,1106,80.34345292854952,873,214,8606,2861,273,1467,0,245,842,0
travel,0.7,361,1.0,91.83277113359911,8984,799,78.8101809260963,857,230,9094,2977,158,1034,0,266,821,0
travel,0.8,413,1.0,94.46659170670209,9242,541,76.35694572217112,830,257,9455,3094,64,740,0,300,787,0
travel,0.9,465,1.0,97.07315411087261,9497,286,75.92762956148421,825,262,9772,2992,38,410,0,307,780,0
travel,1.0,517,1.0,100.0,9783,0,75.06899724011039,816,271,10100,3090,0,0,0,316,771,0
workspace,0.5,219,1.0,80.6172160052182,13183,3170,78.35259585397175,1424,393,7639,10148,1210,2867,0,523,3142,0
workspace,0.6,263,1.0,84.8549705456695,13876,2477,77.01339203815813,1399,418,8339,10404,838,2237,0,575,3090,0
workspace,0.7,307,1.0,89.63900609470231,14659,1694,75.69253348009539,1375,442,8943,10765,522,1555,0,605,3060,0
workspace,0.8,351,1.0,94.2212438084755,15408,945,74.2799486332783,1350,467,9620,11006,306,868,0,631,3034,0
workspace,0.9,395,1.0,96.89353635418577,15845,508,73.52779306549257,1336,481,10074,11121,123,505,0,649,3016,0
workspace,1.0,439,1.0,100.0,16353,0,72.97743533296642,1326,491,10625,11145,0,0,0,660,3005,0
