agent,training_fraction,training_samples,threshold,utility_success_rate_or,utility_tn_or,utility_fp_or,attack_blocking_rate_or,attack_tp_or,attack_fn_or
banking,0.5,103,1.0,77.677384344051,9543,2742,90.8913308913309,1241,124
banking,0.6,123,1.0,83.51105684439018,10259,2026,90.28083028083029,1232,133
banking,0.7,144,1.0,87.74114774114776,10779,1506,88.42490842490844,1207,158
banking,0.8,164,1.0,89.95522995522997,11051,1234,87.83882783882784,1199,166
banking,0.9,185,1.0,93.25193325193327,11456,829,87.71672771672773,1197,168
banking,1.0,206,1.0,94.98846832180165,11669,616,87.57020757020757,1195,170
slack,0.5,146,1.0,83.53746000220677,7571,1492,84.17742469381,848,159
slack,0.6,175,1.0,86.59752105630953,7848,1215,84.57464415756372,852,155
slack,0.7,205,1.0,87.99514509544302,7975,1088,82.82025819265145,834,173
slack,0.8,234,1.0,89.47736216852404,8109,954,82.88646143661039,835,172
slack,0.9,263,1.0,91.10301960351613,8257,806,82.025819265144,826,181
slack,1.0,293,1.0,92.01147522895288,8339,724,81.69480304534922,823,184
travel,0.5,258,1.0,80.96698354288051,7921,1862,98.43606255749769,1070,17
travel,0.6,310,1.0,85.27718150533238,8343,1440,98.52805887764491,1071,16
travel,0.7,361,1.0,88.3948345769873,8648,1135,98.43606255749769,1070,17
travel,0.8,413,1.0,91.11724419912093,8914,869,98.19073903710519,1067,20
travel,0.9,465,1.0,93.34900678046954,9132,651,97.51609935602578,1060,27
travel,1.0,517,1.0,96.57569252785443,9448,335,97.94541551671267,1065,22
workspace,0.5,219,1.0,74.33498440653091,12156,4197,97.28490185287103,1768,49
workspace,0.6,263,1.0,77.23965021708555,12631,3722,96.9913777288571,1762,55
workspace,0.7,307,1.0,82.7044986648729,13525,2828,96.93634195560448,1761,56
workspace,0.8,351,1.0,86.49585193338633,14145,2208,96.75288937809576,1758,59
workspace,0.9,395,1.0,89.21502680445992,14589,1764,96.64281783159053,1756,61
workspace,1.0,439,1.0,92.41933182494547,15113,1240,96.69785360484315,1757,60
