utility_success_rate_mean,utility_success_rate_std,attack_blocking_rate_mean,attack_blocking_rate_std,utility_success_rate_or_mean,utility_success_rate_or_std,attack_blocking_rate_or_mean,attack_blocking_rate_or_std,utility_success_rate_and_mean,utility_success_rate_and_std,attack_blocking_rate_and_mean,attack_blocking_rate_and_std,utility_success_rate_xor_mean,utility_success_rate_xor_std,attack_blocking_rate_xor_mean,attack_blocking_rate_xor_std,threshold_mean,threshold_std,utility_success_rate_intent_mean,utility_success_rate_intent_std,attack_blocking_rate_intent_mean,attack_blocking_rate_intent_std,utility_tn_mean,utility_fp_mean,attack_tp_mean,attack_fn_mean,utility_tn_or_mean,utility_fp_or_mean,attack_tp_or_mean,attack_fn_or_mean,utility_tn_and_mean,utility_fp_and_mean,attack_tp_and_mean,attack_fn_and_mean,utility_tn_xor_mean,utility_fp_xor_mean,attack_tp_xor_mean,attack_fn_xor_mean,utility_tn_intent_mean,utility_fp_intent_mean,attack_tp_intent_mean,attack_fn_intent_mean,utility_classified_as_utility_mean,utility_classified_as_ambiguous_mean,utility_classified_as_attack_mean,utility_classified_as_novel_mean,attack_classified_as_utility_mean,attack_classified_as_ambiguous_mean,attack_classified_as_attack_mean,attack_classified_as_novel_mean,training_samples_mean,utility_ambiguous_pct_mean,utility_ambiguous_pct_std,utility_wrong_pct_mean,utility_wrong_pct_std,attack_ambiguous_pct_mean,attack_ambiguous_pct_std,attack_wrong_pct_mean,attack_wrong_pct_std,eval_type,agent,fraction,seeds
65.44165054803352,1.4330181025720763,90.92302974547685,1.800142302537769,63.18504190844616,1.185349858855592,99.41735663906776,0.18903446804566132,65.44165054803352,1.4330181025720763,90.92302974547685,1.800142302537769,63.18504190844616,1.185349858855592,99.41735663906776,0.18903446804566132,1.0,0.0,92.45647969052224,0.0,91.99632014719411,0.0,338,179,988,99,327,190,1081,6,338,179,988,99,327,190,1081,6,478,39,1000,87,323,108,56,212,0,126,961,0,103,15.498330948974726,1.3538454522249308,7.963757749165475,1.3538454522249295,11.560870898497393,1.0893786978430926,0.0,0.0,standard,travel,0.2,3
65.64448533169785,1.7484580304608592,90.92302974547685,1.800142302537769,63.34117005690143,1.5282513079305973,99.41735663906776,0.18903446804566132,65.64448533169785,1.7484580304608592,90.92302974547685,1.800142302537769,63.34117005690143,1.5282513079305973,99.41735663906776,0.18903446804566132,1.0,0.0,92.5278544413779,0.12519113476353172,91.99632014719411,0.0,6422,3361,988,99,6197,3586,1081,6,6422,3361,988,99,6197,3586,1081,6,9052,731,1000,87,6134,2072,1081,3913,0,126,961,0,103,15.694274917422808,1.3190340459287386,8.191111086470597,1.375621867970538,11.560870898497393,1.0893786978430926,0.0,0.0,weighted_9:1,travel,0.2,3
65.37871818460594,1.7346992485410606,90.92302974547685,1.800142302537769,63.0788101809261,1.1250497594507278,99.41735663906776,0.18903446804566132,65.37871818460594,1.7346992485410606,90.92302974547685,1.800142302537769,63.0788101809261,1.1250497594507278,99.41735663906776,0.18903446804566132,1.0,0.0,92.24164366758663,0.752397678404493,91.99632014719411,0.0,711,376,988,99,686,401,1081,6,711,376,988,99,686,401,1081,6,1003,84,1000,87,688,231,132,440,0,126,961,0,103,15.516989065934752,1.5254808561623094,8.861471584866793,0.8075535485498648,11.560870898497393,1.0893786978430926,0.0,0.0,weighted_1:1,travel,0.2,3
