utility_success_rate_mean,utility_success_rate_std,attack_blocking_rate_mean,attack_blocking_rate_std,utility_success_rate_or_mean,utility_success_rate_or_std,attack_blocking_rate_or_mean,attack_blocking_rate_or_std,utility_success_rate_and_mean,utility_success_rate_and_std,attack_blocking_rate_and_mean,attack_blocking_rate_and_std,utility_success_rate_xor_mean,utility_success_rate_xor_std,attack_blocking_rate_xor_mean,attack_blocking_rate_xor_std,threshold_mean,threshold_std,utility_success_rate_intent_mean,utility_success_rate_intent_std,attack_blocking_rate_intent_mean,attack_blocking_rate_intent_std,utility_tn_mean,utility_fp_mean,attack_tp_mean,attack_fn_mean,utility_tn_or_mean,utility_fp_or_mean,attack_tp_or_mean,attack_fn_or_mean,utility_tn_and_mean,utility_fp_and_mean,attack_tp_and_mean,attack_fn_and_mean,utility_tn_xor_mean,utility_fp_xor_mean,attack_tp_xor_mean,attack_fn_xor_mean,utility_tn_intent_mean,utility_fp_intent_mean,attack_tp_intent_mean,attack_fn_intent_mean,utility_classified_as_utility_mean,utility_classified_as_ambiguous_mean,utility_classified_as_attack_mean,utility_classified_as_novel_mean,attack_classified_as_utility_mean,attack_classified_as_ambiguous_mean,attack_classified_as_attack_mean,attack_classified_as_novel_mean,training_samples_mean,utility_ambiguous_pct_mean,utility_ambiguous_pct_std,utility_wrong_pct_mean,utility_wrong_pct_std,attack_ambiguous_pct_mean,attack_ambiguous_pct_std,attack_wrong_pct_mean,attack_wrong_pct_std,eval_type,agent,fraction,seeds
94.08418657565414,1.1601864649812943,44.81959616021186,4.5538496999598,87.03071672354947,1.277016172960393,84.57464415756372,1.9465329927824064,94.08418657565414,1.1601864649812943,44.81959616021186,4.5538496999598,87.03071672354947,1.277016172960393,84.57464415756372,1.9465329927824064,1.0,0.0,89.76109215017065,0.0,71.7974180734856,0.0,276,17,451,556,255,38,852,155,276,17,451,556,255,38,852,155,263,30,723,284,171,402,13,7,0,712,409,0,175,67.73468240584599,0.07949486016712323,2.2484541877459248,0.07949486016712157,63.484983645554564,1.9137190496228544,0.0,0.0,standard,slack,0.6,3
93.83574239582184,1.0557725620219445,44.81959616021186,4.5538496999598,86.59752105630953,1.344634482734764,84.57464415756372,1.9465329927824064,93.83574239582184,1.0557725620219445,44.81959616021186,4.5538496999598,86.59752105630953,1.344634482734764,84.57464415756372,1.9465329927824064,1.0,0.0,89.64287027842143,0.057920540468653914,71.7974180734856,0.0,8504,559,451,556,7848,1215,852,155,8504,559,451,556,7848,1215,852,155,8124,939,723,284,5133,12610,408,239,0,712,409,0,175,68.56867121917843,0.08302929986869864,2.2186905318605237,0.03232081154503263,63.484983645554564,1.9137190496228544,0.0,0.0,weighted_9:1,slack,0.6,3
94.20721615359152,0.8669844987559617,44.81959616021186,4.5538496999598,86.36213174445548,1.9346758286928127,84.57464415756372,1.9465329927824064,94.20721615359152,0.8669844987559617,44.81959616021186,4.5538496999598,86.36213174445548,1.9346758286928127,84.57464415756372,1.9465329927824064,1.0,0.0,88.57994041708044,1.060285824432106,71.7974180734856,0.0,949,58,451,556,870,137,852,155,949,58,451,556,870,137,852,155,892,115,723,284,595,1357,38,26,0,712,409,0,175,67.3215262618997,1.1759490009344156,1.9035269013938656,0.11266351775295924,63.484983645554564,1.9137190496228544,0.0,0.0,weighted_1:1,slack,0.6,3
