utility_success_rate_mean,utility_success_rate_std,attack_blocking_rate_mean,attack_blocking_rate_std,utility_success_rate_or_mean,utility_success_rate_or_std,attack_blocking_rate_or_mean,attack_blocking_rate_or_std,utility_success_rate_and_mean,utility_success_rate_and_std,attack_blocking_rate_and_mean,attack_blocking_rate_and_std,utility_success_rate_xor_mean,utility_success_rate_xor_std,attack_blocking_rate_xor_mean,attack_blocking_rate_xor_std,threshold_mean,threshold_std,utility_success_rate_intent_mean,utility_success_rate_intent_std,attack_blocking_rate_intent_mean,attack_blocking_rate_intent_std,utility_tn_mean,utility_fp_mean,attack_tp_mean,attack_fn_mean,utility_tn_or_mean,utility_fp_or_mean,attack_tp_or_mean,attack_fn_or_mean,utility_tn_and_mean,utility_fp_and_mean,attack_tp_and_mean,attack_fn_and_mean,utility_tn_xor_mean,utility_fp_xor_mean,attack_tp_xor_mean,attack_fn_xor_mean,utility_tn_intent_mean,utility_fp_intent_mean,attack_tp_intent_mean,attack_fn_intent_mean,utility_classified_as_utility_mean,utility_classified_as_ambiguous_mean,utility_classified_as_attack_mean,utility_classified_as_novel_mean,attack_classified_as_utility_mean,attack_classified_as_ambiguous_mean,attack_classified_as_attack_mean,attack_classified_as_novel_mean,training_samples_mean,utility_ambiguous_pct_mean,utility_ambiguous_pct_std,utility_wrong_pct_mean,utility_wrong_pct_std,attack_ambiguous_pct_mean,attack_ambiguous_pct_std,attack_wrong_pct_mean,attack_wrong_pct_std,eval_type,agent,fraction,seeds
37.28170083523159,0.5682091703529127,92.46009906439185,1.7651532074738525,33.637053910402436,0.2841045851764576,99.00935608145294,0.2059250075274653,37.35763097949886,0.6705968767143388,92.46009906439185,1.7651532074738525,33.637053910402436,0.2841045851764576,99.00935608145294,0.2059250075274653,1.0,0.0,87.92710706150342,0.0,87.17666483214089,0.0,164,275,1680,137,148,291,1799,18,164,275,1680,137,148,291,1799,18,386,53,1584,233,64,140,162,218,0,206,3459,0,43,23.915525114155248,2.5640499366685163,27.796803652968038,2.5640499366685146,5.629831741700773,0.9752499089957394,0.0,0.0,standard,workspace,0.1,3
37.22252797651807,0.8912235111965573,92.46009906439185,1.7651532074738525,33.53716953056523,0.35111931348188324,99.00935608145294,0.2059250075274653,37.320369351189385,1.0266183311575303,92.46009906439185,1.7651532074738525,33.53716953056523,0.35111931348188324,99.00935608145294,0.2059250075274653,1.0,0.0,87.60268248435558,0.1821114155950373,87.17666483214089,0.0,6087,10266,1680,137,5484,10869,1799,18,6103,10250,1680,137,5484,10869,1799,18,14326,2027,1584,233,2382,5302,6097,8027,0,206,3459,0,43,24.303853194938302,2.8589008481675284,27.96680538806628,2.861561952030611,5.629831741700773,0.9752499089957394,0.0,0.0,weighted_9:1,workspace,0.1,3
37.25921849201981,1.2797050102069538,92.46009906439185,1.7651532074738525,33.14988075582462,0.3432083458790997,99.00935608145294,0.2059250075274653,37.38763529627591,1.4521751918666876,92.46009906439185,1.7651532074738525,33.14988075582462,0.3432083458790997,99.00935608145294,0.2059250075274653,1.0,0.0,88.4608328747019,0.5169327757697805,87.17666483214089,0.0,677,1140,1680,137,602,1215,1799,18,679,1138,1680,137,602,1215,1799,18,1607,210,1584,233,275,596,693,883,0,206,3459,0,43,24.34034303905509,3.656927751463323,28.32478767654401,3.0153663835465347,5.629831741700773,0.9752499089957394,0.0,0.0,weighted_1:1,workspace,0.1,3
