utility_success_rate_mean,utility_success_rate_std,attack_blocking_rate_mean,attack_blocking_rate_std,utility_success_rate_or_mean,utility_success_rate_or_std,attack_blocking_rate_or_mean,attack_blocking_rate_or_std,utility_success_rate_and_mean,utility_success_rate_and_std,attack_blocking_rate_and_mean,attack_blocking_rate_and_std,utility_success_rate_xor_mean,utility_success_rate_xor_std,attack_blocking_rate_xor_mean,attack_blocking_rate_xor_std,threshold_mean,threshold_std,utility_success_rate_intent_mean,utility_success_rate_intent_std,attack_blocking_rate_intent_mean,attack_blocking_rate_intent_std,utility_tn_mean,utility_fp_mean,attack_tp_mean,attack_fn_mean,utility_tn_or_mean,utility_fp_or_mean,attack_tp_or_mean,attack_fn_or_mean,utility_tn_and_mean,utility_fp_and_mean,attack_tp_and_mean,attack_fn_and_mean,utility_tn_xor_mean,utility_fp_xor_mean,attack_tp_xor_mean,attack_fn_xor_mean,utility_tn_intent_mean,utility_fp_intent_mean,attack_tp_intent_mean,attack_fn_intent_mean,utility_classified_as_utility_mean,utility_classified_as_ambiguous_mean,utility_classified_as_attack_mean,utility_classified_as_novel_mean,attack_classified_as_utility_mean,attack_classified_as_ambiguous_mean,attack_classified_as_attack_mean,attack_classified_as_novel_mean,training_samples_mean,utility_ambiguous_pct_mean,utility_ambiguous_pct_std,utility_wrong_pct_mean,utility_wrong_pct_std,attack_ambiguous_pct_mean,attack_ambiguous_pct_std,attack_wrong_pct_mean,attack_wrong_pct_std,eval_type,agent,fraction,seeds
80.20631850419085,0.6382653086145511,84.23796381478074,1.8032738948775435,77.43391360412637,0.2412416110105682,98.49739343759582,0.1563636772030926,80.20631850419085,0.6382653086145511,84.23796381478074,1.8032738948775435,77.43391360412637,0.2412416110105682,98.49739343759582,0.1563636772030926,1.0,0.0,92.45647969052224,0.0,91.99632014719411,0.0,415,102,916,171,400,117,1071,16,415,102,916,171,400,117,1071,16,478,39,1000,87,408,141,23,127,0,203,884,0,206,20.1239866475918,0.4720789192470988,3.3381020505484025,0.4720789192470991,18.70591842992947,2.261355297710717,0.0,0.0,standard,travel,0.4,3
80.2446420661692,0.8113026632497232,84.23796381478074,1.8032738948775435,77.4268288527718,0.3589136006613802,98.49739343759582,0.1563636772030926,80.2446420661692,0.8113026632497232,84.23796381478074,1.8032738948775435,77.4268288527718,0.3589136006613802,98.49739343759582,0.1563636772030926,1.0,0.0,92.5278544413779,0.12519113476353172,91.99632014719411,0.0,7850,1933,916,171,7575,2208,1071,16,7850,1933,916,171,7575,2208,1071,16,9052,731,1000,87,7719,2686,436,2422,0,203,884,0,206,20.256557546157364,0.7332666576772464,3.2821055061484334,0.5320867383862149,18.70591842992947,2.261355297710717,0.0,0.0,weighted_9:1,travel,0.4,3
79.33149340693039,0.3469398497082108,84.23796381478074,1.8032738948775435,76.5409383624655,0.1301024436405782,98.49739343759582,0.1563636772030926,79.33149340693039,0.3469398497082108,84.23796381478074,1.8032738948775435,76.5409383624655,0.1301024436405782,98.49739343759582,0.1563636772030926,1.0,0.0,92.24164366758663,0.752397678404493,91.99632014719411,0.0,862,225,916,171,832,255,1071,16,862,225,916,171,832,255,1071,16,1003,84,1000,87,882,280,48,281,0,203,884,0,206,18.799755386565042,0.21197510243051648,3.203631615729647,0.9042032190042456,18.70591842992947,2.261355297710717,0.0,0.0,weighted_1:1,travel,0.4,3
