agent,training_fraction,seeds,training_samples_mean,policy_utility_rate_mean,policy_utility_rate_std,policy_attack_block_rate_mean,policy_attack_block_rate_std,combined_utility_rate_mean,combined_utility_rate_std,combined_attack_block_rate_mean,combined_attack_block_rate_std,combined_utility_rate_or_mean,combined_utility_rate_or_std,combined_attack_block_rate_or_mean,combined_attack_block_rate_or_std,combined_utility_rate_and_mean,combined_utility_rate_and_std,combined_attack_block_rate_and_mean,combined_attack_block_rate_and_std,combined_utility_rate_xor_mean,combined_utility_rate_xor_std,combined_attack_block_rate_xor_mean,combined_attack_block_rate_xor_std,combined_utility_rate_intent_mean,combined_utility_rate_intent_std,combined_attack_block_rate_intent_mean,combined_attack_block_rate_intent_std,threshold_mean,threshold_std,training_utility_rate_mean,training_utility_rate_std,policy_utility_total_mean,policy_utility_allowed_mean,policy_utility_blocked_mean,policy_attack_total_mean,policy_attack_allowed_mean,policy_attack_blocked_mean,combined_utility_total_mean,combined_utility_allowed_mean,combined_utility_blocked_mean,combined_attack_total_mean,combined_attack_allowed_mean,combined_attack_blocked_mean,combined_utility_allowed_or_mean,combined_utility_blocked_or_mean,combined_attack_allowed_or_mean,combined_attack_blocked_or_mean,combined_utility_allowed_and_mean,combined_utility_blocked_and_mean,combined_attack_allowed_and_mean,combined_attack_blocked_and_mean,combined_utility_allowed_xor_mean,combined_utility_blocked_xor_mean,combined_attack_allowed_xor_mean,combined_attack_blocked_xor_mean,combined_utility_allowed_intent_mean,combined_utility_blocked_intent_mean,combined_attack_allowed_intent_mean,combined_attack_blocked_intent_mean
travel,0.1,3,1,62.22222222222222,3.1426968052735402,83.01886792452831,0.0,62.22222222222222,3.1426968052735402,83.01886792452831,0.0,62.22222222222222,3.1426968052735402,83.01886792452831,0.0,62.22222222222222,3.1426968052735402,83.01886792452831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,15,9,6,53,9,44,15,9,6,53,9,44,9,6,9,44,9,6,9,44,0,0,0,0,0,0,0,0
travel,0.2,3,3,64.44444444444444,3.14269680527354,83.01886792452831,0.0,64.44444444444444,3.14269680527354,83.01886792452831,0.0,64.44444444444444,3.14269680527354,83.01886792452831,0.0,64.44444444444444,3.14269680527354,83.01886792452831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,15,10,5,53,9,44,15,10,5,53,9,44,10,5,9,44,10,5,9,44,0,0,0,0,0,0,0,0
travel,0.3,3,4,68.88888888888889,3.142696805273547,83.01886792452831,0.0,68.88888888888889,3.142696805273547,83.01886792452831,0.0,68.88888888888889,3.142696805273547,83.01886792452831,0.0,68.88888888888889,3.142696805273547,83.01886792452831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,15,10,5,53,9,44,15,10,5,53,9,44,10,5,9,44,10,5,9,44,0,0,0,0,0,0,0,0
travel,0.4,3,6,73.33333333333333,5.443310539518177,83.01886792452831,0.0,73.33333333333333,5.443310539518177,83.01886792452831,0.0,73.33333333333333,5.443310539518177,83.01886792452831,0.0,73.33333333333333,5.443310539518177,83.01886792452831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,15,11,4,53,9,44,15,11,4,53,9,44,11,4,9,44,11,4,9,44,0,0,0,0,0,0,0,0
travel,0.5,3,7,75.55555555555556,8.314794192830986,83.01886792452831,0.0,75.55555555555556,8.314794192830986,83.01886792452831,0.0,75.55555555555556,8.314794192830986,83.01886792452831,0.0,75.55555555555556,8.314794192830986,83.01886792452831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,15,11,4,53,9,44,15,11,4,53,9,44,11,4,9,44,11,4,9,44,0,0,0,0,0,0,0,0
travel,0.6,3,9,82.22222222222223,3.142696805273547,83.01886792452831,0.0,82.22222222222223,3.142696805273547,83.01886792452831,0.0,82.22222222222223,3.142696805273547,83.01886792452831,0.0,82.22222222222223,3.142696805273547,83.01886792452831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,15,12,3,53,9,44,15,12,3,53,9,44,12,3,9,44,12,3,9,44,0,0,0,0,0,0,0,0
travel,0.7,3,10,86.66666666666667,5.443310539518172,83.01886792452831,0.0,86.66666666666667,5.443310539518172,83.01886792452831,0.0,86.66666666666667,5.443310539518172,83.01886792452831,0.0,86.66666666666667,5.443310539518172,83.01886792452831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,15,13,2,53,9,44,15,13,2,53,9,44,13,2,9,44,13,2,9,44,0,0,0,0,0,0,0,0
travel,0.8,3,12,88.8888888888889,3.1426968052735402,83.01886792452831,0.0,88.8888888888889,3.1426968052735402,83.01886792452831,0.0,88.8888888888889,3.1426968052735402,83.01886792452831,0.0,88.8888888888889,3.1426968052735402,83.01886792452831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,15,13,2,53,9,44,15,13,2,53,9,44,13,2,9,44,13,2,9,44,0,0,0,0,0,0,0,0
travel,0.9,3,13,95.55555555555554,3.142696805273547,83.01886792452831,0.0,95.55555555555554,3.142696805273547,83.01886792452831,0.0,95.55555555555554,3.142696805273547,83.01886792452831,0.0,95.55555555555554,3.142696805273547,83.01886792452831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,15,14,1,53,9,44,15,14,1,53,9,44,14,1,9,44,14,1,9,44,0,0,0,0,0,0,0,0
travel,1.0,3,15,100.0,0.0,83.01886792452831,0.0,100.0,0.0,83.01886792452831,0.0,100.0,0.0,83.01886792452831,0.0,100.0,0.0,83.01886792452831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,15,15,0,53,9,44,15,15,0,53,9,44,15,0,9,44,15,0,9,44,0,0,0,0,0,0,0,0
