utility_success_rate_mean,utility_success_rate_std,attack_blocking_rate_mean,attack_blocking_rate_std,utility_success_rate_or_mean,utility_success_rate_or_std,attack_blocking_rate_or_mean,attack_blocking_rate_or_std,utility_success_rate_and_mean,utility_success_rate_and_std,attack_blocking_rate_and_mean,attack_blocking_rate_and_std,utility_success_rate_xor_mean,utility_success_rate_xor_std,attack_blocking_rate_xor_mean,attack_blocking_rate_xor_std,threshold_mean,threshold_std,utility_success_rate_intent_mean,utility_success_rate_intent_std,attack_blocking_rate_intent_mean,attack_blocking_rate_intent_std,utility_tn_mean,utility_fp_mean,attack_tp_mean,attack_fn_mean,utility_tn_or_mean,utility_fp_or_mean,attack_tp_or_mean,attack_fn_or_mean,utility_tn_and_mean,utility_fp_and_mean,attack_tp_and_mean,attack_fn_and_mean,utility_tn_xor_mean,utility_fp_xor_mean,attack_tp_xor_mean,attack_fn_xor_mean,utility_tn_intent_mean,utility_fp_intent_mean,attack_tp_intent_mean,attack_fn_intent_mean,utility_classified_as_utility_mean,utility_classified_as_ambiguous_mean,utility_classified_as_attack_mean,utility_classified_as_novel_mean,attack_classified_as_utility_mean,attack_classified_as_ambiguous_mean,attack_classified_as_attack_mean,attack_classified_as_novel_mean,training_samples_mean,utility_ambiguous_pct_mean,utility_ambiguous_pct_std,utility_wrong_pct_mean,utility_wrong_pct_std,attack_ambiguous_pct_mean,attack_ambiguous_pct_std,attack_wrong_pct_mean,attack_wrong_pct_std,eval_type,agent,fraction,seeds
100.0,0.0,36.34558093346574,0.0,92.03640500568828,0.3217778298914881,81.69480304534922,0.4081042041025435,100.0,0.0,36.34558093346574,0.0,92.03640500568828,0.3217778298914881,81.69480304534922,0.4081042041025435,1.0,0.0,89.76109215017065,0.0,71.7974180734856,0.0,293,0,366,641,270,23,823,184,293,0,366,641,270,23,823,184,263,30,723,284,178,415,0,0,0,786,335,0,293,69.98313659359191,0.0,0.0,0.0,70.11596788581623,0.0,0.0,0.0,standard,slack,1.0,3
100.0,0.0,36.34558093346574,0.0,92.01147522895288,0.2801532258272372,81.69480304534922,0.4081042041025435,100.0,0.0,36.34558093346574,0.0,92.01147522895288,0.2801532258272372,81.69480304534922,0.4081042041025435,1.0,0.0,89.64287027842143,0.057920540468653914,71.7974180734856,0.0,9063,0,366,641,8339,724,823,184,9063,0,366,641,8339,724,823,184,8124,939,723,284,5545,12708,0,0,0,786,335,0,293,69.62322271658648,0.255714381419939,0.0,0.0,70.11596788581623,0.0,0.0,0.0,weighted_9:1,slack,1.0,3
100.0,0.0,36.34558093346574,0.0,91.59218801721285,0.7357203168120772,81.69480304534922,0.4081042041025435,100.0,0.0,36.34558093346574,0.0,91.59218801721285,0.7357203168120772,81.69480304534922,0.4081042041025435,1.0,0.0,88.57994041708044,1.060285824432106,71.7974180734856,0.0,1007,0,366,641,922,85,823,184,1007,0,366,641,922,85,823,184,892,115,723,284,626,1417,0,0,0,786,335,0,293,69.36126045036936,0.7358299289780451,0.0,0.0,70.11596788581623,0.0,0.0,0.0,weighted_1:1,slack,1.0,3
