utility_success_rate_mean,utility_success_rate_std,attack_blocking_rate_mean,attack_blocking_rate_std,utility_success_rate_or_mean,utility_success_rate_or_std,attack_blocking_rate_or_mean,attack_blocking_rate_or_std,utility_success_rate_and_mean,utility_success_rate_and_std,attack_blocking_rate_and_mean,attack_blocking_rate_and_std,utility_success_rate_xor_mean,utility_success_rate_xor_std,attack_blocking_rate_xor_mean,attack_blocking_rate_xor_std,threshold_mean,threshold_std,utility_success_rate_intent_mean,utility_success_rate_intent_std,attack_blocking_rate_intent_mean,attack_blocking_rate_intent_std,utility_tn_mean,utility_fp_mean,attack_tp_mean,attack_fn_mean,utility_tn_or_mean,utility_fp_or_mean,attack_tp_or_mean,attack_fn_or_mean,utility_tn_and_mean,utility_fp_and_mean,attack_tp_and_mean,attack_fn_and_mean,utility_tn_xor_mean,utility_fp_xor_mean,attack_tp_xor_mean,attack_fn_xor_mean,utility_tn_intent_mean,utility_fp_intent_mean,attack_tp_intent_mean,attack_fn_intent_mean,utility_classified_as_utility_mean,utility_classified_as_ambiguous_mean,utility_classified_as_attack_mean,utility_classified_as_novel_mean,attack_classified_as_utility_mean,attack_classified_as_ambiguous_mean,attack_classified_as_attack_mean,attack_classified_as_novel_mean,training_samples_mean,utility_ambiguous_pct_mean,utility_ambiguous_pct_std,utility_wrong_pct_mean,utility_wrong_pct_std,attack_ambiguous_pct_mean,attack_ambiguous_pct_std,attack_wrong_pct_mean,attack_wrong_pct_std,eval_type,agent,fraction,seeds
95.90443686006826,0.7372856312181886,42.10526315789473,2.529189208195041,88.05460750853244,0.5573355501213128,82.82025819265145,1.4413466439640634,95.90443686006826,0.7372856312181886,42.10526315789473,2.529189208195041,88.05460750853244,0.5573355501213128,82.82025819265145,1.4413466439640634,1.0,0.0,89.76109215017065,0.0,71.7974180734856,0.0,281,12,424,583,258,35,834,173,281,12,424,583,258,35,834,173,263,30,723,284,172,408,7,6,0,733,388,0,205,68.74648679033164,0.5732455889367989,1.2366498032602584,0.5732455889367943,65.41778174249181,0.6108426578701815,0.0,0.0,standard,slack,0.7,3
95.89907683254256,0.7460364055174177,42.10526315789473,2.529189208195041,87.99514509544302,0.3848697917624121,82.82025819265145,1.4413466439640634,95.89907683254256,0.7460364055174177,42.10526315789473,2.529189208195041,87.99514509544302,0.3848697917624121,82.82025819265145,1.4413466439640634,1.0,0.0,89.64287027842143,0.057920540468653914,71.7974180734856,0.0,8691,372,424,583,7975,1088,834,173,8691,372,424,583,7975,1088,834,173,8124,939,723,284,5279,12670,228,190,0,733,388,0,205,68.97856919049887,0.49820443740947323,1.244574759212686,0.5440988893955292,65.41778174249181,0.6108426578701815,0.0,0.0,weighted_9:1,slack,0.7,3
95.53128103277061,0.9350842033648112,42.10526315789473,2.529189208195041,87.09036742800397,1.0968580950533517,82.82025819265145,1.4413466439640634,95.53128103277061,0.9350842033648112,42.10526315789473,2.529189208195041,87.09036742800397,1.0968580950533517,82.82025819265145,1.4413466439640634,1.0,0.0,88.57994041708044,1.060285824432106,71.7974180734856,0.0,962,45,424,583,877,130,834,173,962,45,424,583,877,130,834,173,892,115,723,284,637,1426,28,27,0,733,388,0,205,67.32382745577104,1.074603279013544,1.3171229304581162,0.9493916437352475,65.41778174249181,0.6108426578701815,0.0,0.0,weighted_1:1,slack,0.7,3
